id;group;task;text;condition;time;timeTra;perceivedDifficulty
CA0;TraStu;Reading;Text1;SE;First;;7.5
CA0;TraStu;Reading;Text2;ELF;Second;;7.2
CA0;TraStu;Translating;Text1;SE;First;TraFirst;8.7
CA0;TraStu;Translating;Text2;ELF;Second;TraFirst;7.7
CA1;TraStu;Reading;Text1;SE;First;;4.95
CA1;TraStu;Reading;Text2;ELF;Second;;4.8
CA1;TraStu;Translating;Text1;SE;First;TraFirst;7.05
CA1;TraStu;Translating;Text2;ELF;Second;TraSecond;3.8
CA2;TraStu;Reading;Text1;ELF;Second;;6.7
CA2;TraStu;Reading;Text2;SE;First;;5.25
CA2;TraStu;Translating;Text1;ELF;Second;TraSecond;8.8
CA2;TraStu;Translating;Text2;SE;First;TraFirst;2.75
CA3;TraStu;Reading;Text1;SE;Second;;8.9
CA3;TraStu;Reading;Text2;ELF;First;;6.6
CA3;TraStu;Translating;Text1;SE;Second;TraSecond;7.6
CA3;TraStu;Translating;Text2;ELF;First;TraFirst;3.9
CA4;TraStu;Reading;Text1;SE;Second;;1.5
CA4;TraStu;Reading;Text2;ELF;First;;2.35
CA4;TraStu;Translating;Text1;SE;Second;TraFirst;3.9
CA4;TraStu;Translating;Text2;ELF;First;TraFirst;3.1
CA5;TraStu;Reading;Text1;ELF;Second;;4.05
CA5;TraStu;Reading;Text2;SE;First;;5.25
CA5;TraStu;Translating;Text1;ELF;Second;TraSecond;3.6
CA5;TraStu;Translating;Text2;SE;First;TraFirst;3.4
CA6;TraStu;Reading;Text1;SE;Second;;8.9
CA6;TraStu;Reading;Text2;ELF;First;;7.95
CA6;TraStu;Translating;Text1;SE;Second;TraSecond;9.65
CA6;TraStu;Translating;Text2;ELF;First;TraFirst;5.55
CA7;TraStu;Reading;Text1;SE;First;;6.95
CA7;TraStu;Reading;Text2;ELF;Second;;6.05
CA7;TraStu;Translating;Text1;SE;First;TraFirst;7.2
CA7;TraStu;Translating;Text2;ELF;Second;TraSecond;4.45
CA8;TraStu;Reading;Text1;SE;Second;;3.05
CA8;TraStu;Reading;Text2;ELF;First;;4.1
CA8;TraStu;Translating;Text1;SE;Second;TraSecond;2.8
CA8;TraStu;Translating;Text2;ELF;First;TraSecond;6
CE0;TraStu;Reading;Text1;ELF;First;;6.2
CE0;TraStu;Reading;Text2;SE;Second;;5.2
CE0;TraStu;Translating;Text1;ELF;First;TraSecond;4.9
CE0;TraStu;Translating;Text2;SE;Second;TraFirst;4.95
CE1;TraStu;Reading;Text1;ELF;Second;;6.6
CE1;TraStu;Reading;Text2;SE;First;;4.85
CE1;TraStu;Translating;Text1;ELF;Second;TraFirst;5.85
CE1;TraStu;Translating;Text2;SE;First;TraSecond;2.75
CE2;TraStu;Reading;Text1;ELF;Second;;5.65
CE2;TraStu;Reading;Text2;SE;First;;3.65
CE2;TraStu;Translating;Text1;ELF;Second;TraSecond;7.85
CE2;TraStu;Translating;Text2;SE;First;TraFirst;3.2
CE3;TraStu;Reading;Text1;SE;First;;8
CE3;TraStu;Reading;Text2;ELF;Second;;6.95
CE3;TraStu;Translating;Text1;SE;First;TraSecond;5.1
CE3;TraStu;Translating;Text2;ELF;Second;TraFirst;8.3
CE4;TraStu;Reading;Text1;ELF;Second;;7.75
CE4;TraStu;Reading;Text2;SE;First;;6.3
CE4;TraStu;Translating;Text1;ELF;Second;TraSecond;6.55
CE4;TraStu;Translating;Text2;SE;First;TraFirst;5.55
CE5;TraStu;Reading;Text1;ELF;Second;;5.35
CE5;TraStu;Reading;Text2;SE;First;;1.3
CE5;TraStu;Translating;Text1;ELF;Second;TraSecond;0.7
CE5;TraStu;Translating;Text2;SE;First;TraSecond;0.45
CE6;TraStu;Reading;Text1;ELF;First;;7.35
CE6;TraStu;Reading;Text2;SE;Second;;4.05
CE6;TraStu;Translating;Text1;ELF;First;TraSecond;4.95
CE6;TraStu;Translating;Text2;SE;Second;TraSecond;5.2
CE7;TraStu;Reading;Text1;ELF;Second;;7.95
CE7;TraStu;Reading;Text2;SE;First;;4.95
CE7;TraStu;Translating;Text1;ELF;Second;TraFirst;7.15
CE7;TraStu;Translating;Text2;SE;First;TraSecond;7.1
CE8;TraStu;Reading;Text1;SE;First;;6.7
CE8;TraStu;Reading;Text2;ELF;Second;;3.05
CE8;TraStu;Translating;Text1;SE;First;TraFirst;7.25
CE8;TraStu;Translating;Text2;ELF;Second;TraFirst;5
CE9;TraStu;Reading;Text1;ELF;Second;;7.3
CE9;TraStu;Reading;Text2;SE;First;;5.95
CE9;TraStu;Translating;Text1;ELF;Second;TraFirst;5.55
CE9;TraStu;Translating;Text2;SE;First;TraFirst;3.9
CF0;TraStu;Reading;Text1;ELF;First;;5.2
CF0;TraStu;Reading;Text2;SE;Second;;3.25
CF0;TraStu;Translating;Text1;ELF;First;TraFirst;9.75
CF0;TraStu;Translating;Text2;SE;Second;TraFirst;2.25
CF1;TraStu;Reading;Text1;ELF;Second;;6.8
CF1;TraStu;Reading;Text2;SE;First;;5.35
CF1;TraStu;Translating;Text1;ELF;Second;TraSecond;3.7
CF1;TraStu;Translating;Text2;SE;First;TraSecond;5.05
CF2;TraStu;Reading;Text1;SE;First;;7.4
CF2;TraStu;Reading;Text2;ELF;Second;;4
CF2;TraStu;Translating;Text1;SE;First;TraFirst;6.25
CF2;TraStu;Translating;Text2;ELF;Second;TraFirst;6.85
CF4;TraStu;Reading;Text1;ELF;First;;7.15
CF4;TraStu;Reading;Text2;SE;Second;;7.35
CF4;TraStu;Translating;Text1;ELF;First;TraFirst;6.95
CF4;TraStu;Translating;Text2;SE;Second;TraFirst;6.75
CF5;TraStu;Reading;Text1;ELF;Second;;5.75
CF5;TraStu;Reading;Text2;SE;First;;4.35
CF5;TraStu;Translating;Text1;ELF;Second;TraSecond;7.25
CF5;TraStu;Translating;Text2;SE;First;TraSecond;8.7
CI0;TraPro;Reading;Text1;ELF;Second;;2.55
CI0;TraPro;Reading;Text2;SE;First;;2
CI0;TraPro;Translating;Text1;ELF;Second;TraSecond;2.6
CI0;TraPro;Translating;Text2;SE;First;TraFirst;2.7
CI1;TraPro;Reading;Text1;ELF;Second;;7.15
CI1;TraPro;Reading;Text2;SE;First;;4.75
CI1;TraPro;Translating;Text1;ELF;Second;TraFirst;4.9
CI1;TraPro;Translating;Text2;SE;First;TraSecond;5.05
CI2;TraPro;Reading;Text1;SE;Second;;5.95
CI2;TraPro;Reading;Text2;ELF;First;;6.35
CI2;TraPro;Translating;Text1;SE;Second;TraFirst;5.25
CI2;TraPro;Translating;Text2;ELF;First;TraFirst;5.65
CI3;TraPro;Reading;Text1;SE;Second;;4.35
CI3;TraPro;Reading;Text2;ELF;First;;2.6
CI3;TraPro;Translating;Text1;SE;Second;TraSecond;4.8
CI3;TraPro;Translating;Text2;ELF;First;TraFirst;4.4
CI4;TraPro;Reading;Text1;ELF;Second;;4.75
CI4;TraPro;Reading;Text2;SE;First;;3.6
CI4;TraPro;Translating;Text1;ELF;Second;TraSecond;1
CI4;TraPro;Translating;Text2;SE;First;TraSecond;1.2
CI5;TraPro;Reading;Text1;SE;First;;5.2
CI5;TraPro;Reading;Text2;ELF;Second;;1.85
CI5;TraPro;Translating;Text1;SE;First;TraSecond;4.95
CI5;TraPro;Translating;Text2;ELF;Second;TraSecond;3.65
CI6;TraPro;Reading;Text1;SE;Second;;9
CI6;TraPro;Reading;Text2;ELF;First;;3
CI6;TraPro;Translating;Text1;SE;Second;TraSecond;8.2
CI6;TraPro;Translating;Text2;ELF;First;TraSecond;4.45
CI7;TraPro;Reading;Text1;SE;First;;9.75
CI7;TraPro;Reading;Text2;ELF;Second;;9.65
CI7;TraPro;Translating;Text1;SE;First;TraSecond;9.65
CI7;TraPro;Translating;Text2;ELF;Second;TraFirst;9.7
CI8;TraPro;Reading;Text1;SE;First;;4.9
CI8;TraPro;Reading;Text2;ELF;Second;;0.85
CI8;TraPro;Translating;Text1;SE;First;TraFirst;4.8
CI8;TraPro;Translating;Text2;ELF;Second;TraSecond;1.1
CI9;TraPro;Reading;Text1;ELF;Second;;7.85
CI9;TraPro;Reading;Text2;SE;First;;5.2
CI9;TraPro;Translating;Text1;ELF;Second;TraFirst;5.15
CI9;TraPro;Translating;Text2;SE;First;TraSecond;1.9
CJ0;TraPro;Reading;Text1;ELF;First;;7.45
CJ0;TraPro;Reading;Text2;SE;Second;;7.05
CJ0;TraPro;Translating;Text1;ELF;First;TraSecond;5.6
CJ0;TraPro;Translating;Text2;SE;Second;TraSecond;6.15
CJ1;TraPro;Reading;Text1;SE;Second;;8.3
CJ1;TraPro;Reading;Text2;ELF;First;;5.05
CJ1;TraPro;Translating;Text1;SE;Second;TraFirst;4
CJ1;TraPro;Translating;Text2;ELF;First;TraFirst;1.75
CJ2;TraPro;Reading;Text1;ELF;Second;;7.75
CJ2;TraPro;Reading;Text2;SE;First;;7.7
CJ2;TraPro;Translating;Text1;ELF;Second;TraSecond;5.15
CJ2;TraPro;Translating;Text2;SE;First;TraSecond;4.65
CJ3;TraPro;Reading;Text1;SE;First;;8.2
CJ3;TraPro;Reading;Text2;ELF;Second;;6.9
CJ3;TraPro;Translating;Text1;SE;First;TraSecond;5
CJ3;TraPro;Translating;Text2;ELF;Second;TraSecond;5.4
CJ4;TraPro;Reading;Text1;SE;Second;;6.7
CJ4;TraPro;Reading;Text2;ELF;First;;4.05
CJ4;TraPro;Translating;Text1;SE;Second;TraSecond;4.55
CJ4;TraPro;Translating;Text2;ELF;First;TraSecond;1.75
CJ5;TraPro;Reading;Text1;ELF;Second;;0.3
CJ5;TraPro;Reading;Text2;SE;First;;0.35
CJ5;TraPro;Translating;Text1;ELF;Second;TraSecond;0.75
CJ5;TraPro;Translating;Text2;SE;First;TraSecond;0.55
CJ6;TraPro;Reading;Text1;ELF;Second;;2.85
CJ6;TraPro;Reading;Text2;SE;First;;0.9
CJ6;TraPro;Translating;Text1;ELF;Second;TraFirst;1.8
CJ6;TraPro;Translating;Text2;SE;First;TraFirst;0.65
CJ7;TraPro;Reading;Text1;SE;First;;7.85
CJ7;TraPro;Reading;Text2;ELF;Second;;4.8
CJ7;TraPro;Translating;Text1;SE;First;TraSecond;7.35
CJ7;TraPro;Translating;Text2;ELF;Second;TraSecond;5.05
CJ8;TraPro;Reading;Text1;SE;Second;;7.1
CJ8;TraPro;Reading;Text2;ELF;First;;7.9
CJ8;TraPro;Translating;Text1;SE;Second;TraFirst;5.95
CJ8;TraPro;Translating;Text2;ELF;First;TraSecond;8.15
CJ9;TraPro;Reading;Text1;SE;Second;;6.8
CJ9;TraPro;Reading;Text2;ELF;First;;7.2
CJ9;TraPro;Translating;Text1;SE;Second;TraSecond;6.35
CJ9;TraPro;Translating;Text2;ELF;First;TraFirst;5.75
CK1;TraPro;Reading;Text1;SE;First;;6.9
CK1;TraPro;Reading;Text2;ELF;Second;;4.75
CK1;TraPro;Translating;Text1;SE;First;TraSecond;6.6
CK1;TraPro;Translating;Text2;ELF;Second;TraFirst;6
CK2;TraPro;Reading;Text1;SE;Second;;7.8
CK2;TraPro;Reading;Text2;ELF;First;;6.7
CK2;TraPro;Translating;Text1;SE;Second;TraFirst;8.2
CK2;TraPro;Translating;Text2;ELF;First;TraFirst;8.05
CM0;Mul;Reading;Text1;SE;Second;;7.25
CM0;Mul;Reading;Text2;ELF;First;;6.85
CM0;Mul;Translating;Text1;SE;Second;TraFirst;5.55
CM0;Mul;Translating;Text2;ELF;First;TraSecond;2.2
CM1;Mul;Reading;Text1;SE;First;;4.2
CM1;Mul;Reading;Text2;ELF;Second;;3.6
CM1;Mul;Translating;Text1;SE;First;TraSecond;2.1
CM1;Mul;Translating;Text2;ELF;Second;TraFirst;2.9
CM2;Mul;Reading;Text1;ELF;First;;3.75
CM2;Mul;Reading;Text2;SE;Second;;3.75
CM2;Mul;Translating;Text1;ELF;First;TraFirst;4.95
CM2;Mul;Translating;Text2;SE;Second;TraSecond;3.95
CM3;Mul;Reading;Text1;ELF;Second;;2.15
CM3;Mul;Reading;Text2;SE;First;;1.45
CM3;Mul;Translating;Text1;ELF;Second;TraSecond;3.45
CM3;Mul;Translating;Text2;SE;First;TraFirst;3.35
CM4;Mul;Reading;Text1;SE;First;;7.4
CM4;Mul;Reading;Text2;ELF;Second;;5.15
CM4;Mul;Translating;Text1;SE;First;TraFirst;5.8
CM4;Mul;Translating;Text2;ELF;Second;TraSecond;5.1
CM5;Mul;Reading;Text1;SE;Second;;3.5
CM5;Mul;Reading;Text2;ELF;First;;3.4
CM5;Mul;Translating;Text1;SE;Second;TraFirst;7.45
CM5;Mul;Translating;Text2;ELF;First;TraFirst;7.35
CM6;Mul;Reading;Text1;ELF;First;;1.3
CM6;Mul;Reading;Text2;SE;Second;;1.1
CM6;Mul;Translating;Text1;ELF;First;TraSecond;1.15
CM6;Mul;Translating;Text2;SE;Second;TraFirst;2.55
CM7;Mul;Reading;Text1;ELF;Second;;2.45
CM7;Mul;Reading;Text2;SE;First;;2.1
CM7;Mul;Translating;Text1;ELF;Second;TraFirst;3.2
CM7;Mul;Translating;Text2;SE;First;TraFirst;3.55
CM8;Mul;Reading;Text1;ELF;First;;5.2
CM8;Mul;Reading;Text2;SE;Second;;1.15
CM8;Mul;Translating;Text1;ELF;First;TraSecond;8.35
CM8;Mul;Translating;Text2;SE;Second;TraFirst;9.7
CM9;Mul;Reading;Text1;SE;Second;;3.7
CM9;Mul;Reading;Text2;ELF;First;;1.55
CM9;Mul;Translating;Text1;SE;Second;TraFirst;3.75
CM9;Mul;Translating;Text2;ELF;First;TraFirst;4.85
CN0;Mul;Reading;Text1;SE;First;;3.55
CN0;Mul;Reading;Text2;ELF;Second;;2.7
CN0;Mul;Translating;Text1;SE;First;TraSecond;5.1
CN0;Mul;Translating;Text2;ELF;Second;TraFirst;3.55
CN1;Mul;Reading;Text1;SE;First;;3.55
CN1;Mul;Reading;Text2;ELF;Second;;4.6
CN1;Mul;Translating;Text1;SE;First;TraSecond;3
CN1;Mul;Translating;Text2;ELF;Second;TraSecond;3.7
CN2;Mul;Reading;Text1;SE;Second;;6.05
CN2;Mul;Reading;Text2;ELF;First;;5.35
CN2;Mul;Translating;Text1;SE;Second;TraSecond;5.25
CN2;Mul;Translating;Text2;ELF;First;TraSecond;5.25
CN3;Mul;Reading;Text1;SE;Second;;3.9
CN3;Mul;Reading;Text2;ELF;First;;2.65
CN3;Mul;Translating;Text1;SE;Second;TraFirst;4.3
CN3;Mul;Translating;Text2;ELF;First;TraFirst;4.6
CN4;Mul;Reading;Text1;ELF;First;;6.1
CN4;Mul;Reading;Text2;SE;Second;;3.55
CN4;Mul;Translating;Text1;ELF;First;TraSecond;5.25
CN4;Mul;Translating;Text2;SE;Second;TraSecond;4.4
CN5;Mul;Reading;Text1;SE;First;;5.65
CN5;Mul;Reading;Text2;ELF;Second;;3.85
CN5;Mul;Translating;Text1;SE;First;TraFirst;5.6
CN5;Mul;Translating;Text2;ELF;Second;TraSecond;3.65
CN6;Mul;Reading;Text1;SE;First;;2.8
CN6;Mul;Reading;Text2;ELF;Second;;2.55
CN6;Mul;Translating;Text1;SE;First;TraSecond;3.05
CN6;Mul;Translating;Text2;ELF;Second;TraSecond;3.1
CQ0;Mul;Reading;Text1;SE;Second;;8.65
CQ0;Mul;Reading;Text2;ELF;First;;7.65
CQ0;Mul;Translating;Text1;SE;Second;TraFirst;9.2
CQ0;Mul;Translating;Text2;ELF;First;TraSecond;6.05
CU0;Mul;Reading;Text1;ELF;Second;;6.65
CU0;Mul;Reading;Text2;SE;First;;5.25
CU0;Mul;Translating;Text1;ELF;Second;TraFirst;6.75
CU0;Mul;Translating;Text2;SE;First;TraFirst;5.5
CU1;Mul;Reading;Text1;ELF;Second;;9.45
CU1;Mul;Reading;Text2;SE;First;;9.7
CU1;Mul;Translating;Text1;ELF;Second;TraFirst;9.7
CU1;Mul;Translating;Text2;SE;First;TraSecond;9.7
CU2;Mul;Reading;Text1;ELF;Second;;0.3
CU2;Mul;Reading;Text2;SE;First;;1.7
CU2;Mul;Translating;Text1;ELF;Second;TraFirst;5.45
CU2;Mul;Translating;Text2;SE;First;TraFirst;4.8
CU3;Mul;Reading;Text1;SE;Second;;5.8
CU3;Mul;Reading;Text2;ELF;First;;9.75
CU3;Mul;Translating;Text1;SE;Second;TraSecond;5.95
CU3;Mul;Translating;Text2;ELF;First;TraFirst;8.55
CU4;Mul;Reading;Text1;ELF;Second;;3.8
CU4;Mul;Reading;Text2;SE;First;;1.6
CU4;Mul;Translating;Text1;ELF;Second;TraFirst;3.25
CU4;Mul;Translating;Text2;SE;First;TraFirst;4.65
CU5;Mul;Reading;Text1;ELF;Second;;3.9
CU5;Mul;Reading;Text2;SE;First;;2.65
CU5;Mul;Translating;Text1;ELF;Second;TraSecond;3.6
CU5;Mul;Translating;Text2;SE;First;TraSecond;3.5
