"rand_index","index","translation","reference_translation","accuracy"
1,490,"Verantwortlich für das technische Training der HEAs and der Pilotactionplanung ist im Projekt das Energy Consumption Research Institut.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
2,209,"In unserem Bericht spekulieren wir, dass Werte, die das Umweltbewusstsein betres","In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.",""
3,275,"Der erste Teil dieser Arbeit fasst die Resultate einer statistischen Analyse zusammen, welche durchgeführt wurde, um di Definition von energieschwachen und energiestarken Konsumern zu verstehen (da eine europäische Definition nicht existiert).","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
4,497,"Der erste Teil des Artikels fasst die Resultate der statistischen Analysen, welche durchg","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
5,411,"Das Energy Consumption Research Institute ist in diesem Projekt verantwortlich für die technische Ausbildung der HEAs und die Planung der Pilotaufgaben.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
6,374,"In diesem Projekt ist das Energy Consumpion Research Institute für die technische Ausbildung der HEAs und die Planung der Pilottätigkeiten zuständig.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
7,479,"Der erste Teil dieser Arbeit fasst die Resultate der statistischen Analyse zusammen, welches dazu dient einen ""energiearmen"" oder einen ""energieverletzlichen"" Konsumenten zu definieren, da eine gängige europäische Definition dieser n","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
8,492,"Der erste Teil der Studie fasst die Resultate der statistischen Analyse zusammen, welche durchgeführt wurde, um zu definieren, wer als ""energiearm"" oder ""energieverletzlich"" gilt, da es keine allgemeingültige Definition in Europa dafür gibt.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
9,472,"Dies beachtend, ist das Ziel vom Projekt (finanziert von der EU Kommission unter dem Grant Agreement n. 12345), mit dem Energy Consumption Research Institute als Partner, ","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
10,439,"Der erste Teil der Arbeit fasst die Resultate zusammen, die mit einer statistischen Analyse durchegührt worden sind, um zu verstehen, wie man ""energiearme"" oder ""energieverletzliche"" Konsumenten definieren kann, da eine allgemeine Definition noch nicht existiert. ","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
11,373,"Diese Berater werden gezielt dazu ausgebildet, die Pilottätigkeiten durchzuführen, indem energieanfällige Verbaucher (VC) dazu gebracht werden, ihren Stromverbauch zu optimieren (und nach Möglichkeit zu reduzieren). Dies geschieht in erster Linie durch Verhaltensänderungen.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
12,297,"Der erste Teil der Studie fasst die Resultate einer statistischen Analyse zusammen, die durchgeführt wurde, um zu verstehen, wie eine ""energiearme"" oder ""energiegefährdete"" Konsumerschaft definiert werden kann, da eine allgemeine Europäische Definition nicht existiert.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
13,477,"Im Projekt ist Energy Consumption Research Institute verantwortlich für das technische Training der HEAs und für die Planung der Pilotaktionen.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
14,422,"Diese Studie fasst die ersten Ergebnisse zu den zuvor erwähnten Aufgaben zusammen.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
15,295,"In dem Projekt ist das Energy Consumption Research Institute für das technische Training der HEA's und die Pilot Aktionsplanung verantwortlich.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
16,299,"Solche Ratgeber sind speziell trainiert um solche Pilotaktionen durchzuführen indem sie anfällige Konsumenten (VCs) helfen, die Energiekonsumption zu optimieren (und möglicherweise zu reduzieren), dies meist durch Einen Wechsel im Verhalten.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
17,412,"Dieses Paper sammelt die ersten Resultate der oben genannten Aufgaben.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
18,208,"Im Besonderen ist relativ wenig bekannt über die Gründe der Heterogenität des Effektes eines bekannten Experiments sozialen Vergleichs, wie das, welches von Opower program durch die Home Electrity Report bereitgestellt wurde","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
19,233,"Besonders wenig weiss man über die Ursprünge der Heterogenität im Effekt von einem gut bekannten sozial vergleichenden Experiment, wie jenes von der Opower program durch den Home Electricity Report zugestellte Experiment.","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
20,249,"Genauer gesagt, ist relativ wenig über die Quelle der Heterogenität im Resultat eines sehr bekannten Experiments des sozialen Vergleichs, wie zum Beispiel desjenigen vom Opower Programm durch den Home El","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
21,191,"In dieser Arbeit testen wir den Effekt des sozialen Vergleichs der Energiekonservierung und ob dies mit der Höhe des Umweltbewusstseins zusammenhängt.","In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.",""
22,523,"Um diese Schranke zu überwinden ist es notwendig, den Hintergrund, in welchem die Pilothandlungen eingebettet werdensollen (die Situation in den analysierten MS) zu definieren und eine absichtliche Segmentierung auszuführen, indem man schon existierende statistische Datenbanken analysiert und erstellt, zu welchen ähnliche Indikatoren verwendbar sind. Die Indikatoren  sollen kompatibel mit der vorhandenen Information sein.","Um dieses Problem zu lösen, musste der Kontext definiert werden, in dem die Pilotmassnahmen implementiert werden sollen (die Situation in den analysierten EU-Mitgliedsstaaten). Auch musste eine zielgerichtete Marktsegmentierung durchgeführt werden, mittels einer Analyse und Ergänzung von verfügbaren Datenbeständen, welche ähnliche und kompatible Indikatoren aufweisen.",""
23,474,"Im Projekt ist das Energy Consumption Research Institute für die technische Ausbildung der HEAs und die Planung der Pilotaktionen zuständig.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
24,407,"Der erste Teil der Arbeit fasst die Ergebnisse einer statistischen Analyse zusammen, die durchgeführt wurde, um zu verstehen, wie ""energiearme"" oder ""energiegefährdete"" Verbraucher zu definieren sind, da keine gemeinsame europäische Definition existiert.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
25,387,"Der erste Teil der Arbeit fasst die Ergebnisse einer statistischen Analyse zusammen, die durchgefhrt wurde, um zu verstehen, wie ein ""energiearmer"" oder ""energiegefährdeter"" Verbraucher zu definieren ist, da eine allgemeine europäische Definition nicht existiert.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
26,473,"Solche Berater sind spezifisch dazu ausgebildet, die Pilotaktionen umzusetzen, indem sie Energiegefährdete Konsumenten (VCs) darin bilden, ihren Energieverbrauch zu optimieren (und möglicherweise zu reduzieren), hauptsächlich duch Veränderungen ihres Verhaltens.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
27,265,"So ist vor allem in Bezug auf die Herkunft der Heterogenität der Wirkung beka","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
28,256,"In unserem Paper spekulieren wir, dass Umweltbewusstsein eine wichtige Quelle der Heterogenität darstellt in Bezug auf den Effekt der Opower Vergleichsstudie.","In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.",""
29,495,"In diesem Projekt ist das Energy Consumption Research Institu verantwortlich für das technische Training der HEAs und die Plannung der Pilot Massnahmen.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
30,524,"Der zweite Teil dieser Arbeit führt kurz das Traing ein, welches den HEAs vorgestellt werden wird, um die Kompetenzen aufzuzeigen, welche eine Voraussetzung für ein HEA sind, der einen vulnerablen Konsumenten oder eine vulnerable Familie nähern will und wie man diese kostruiert.","Im zweiten Teil dieses Artikels wird kurz die Ausbildung vorgestellt, um aufzuzeigen, welche Kompetenzen HEAs benötigen, bevor sie energiegefährdete Konsumentinnen und Konsumenten beziehungsweise Familien beraten können und wie sie sich diese Kompetenzen aneignen.",""
31,274,"Diese Arbeit sammelt die ersten Resultate der oben aufgeführten Aufgaben.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
32,368,"Auf dieser Grundlage beabsichtigt das Pro","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
33,255,"Insbesondere, weiss man relative wenig über den Ursprung der Heterogenität in Bezug auf den Effekt eines wohlbekannten Experimentes mit sozialen Vergleichen, wie es im Opower Programm zur Verfügung gestellt wird.","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
34,445,"Dies im Hinterkopf, versucht das Projekt (von der EU Komission unter Grant Agreement .12345 gefördert), von welchem Energy Conmsuption Research ein Partner ist, die besten Prakiken und Empfehl","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
35,478,"Diese Arbeit sammelt die ersten Resultate der obig erwähnten Aufgabenstellungen. ","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
36,159,"Vor allem ist wenig bekannt über die Quellen der Hetegorenität bei den Auswirkungen eines gut bekannte Experiments zu sozialen Vergleichen wie demjenigen des Opower-Programms imrahmen des Home Electricity ","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
37,234,"In unserem Bericht spekulieren wir, dass umweltfreundliche Werte eine wichtige Quelle für Heterogenität im Effekt von den Opower Gruppenvergleich repräsen","In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.",""
38,406,"In dieser Arbeit werden die ersten Ergebnisse der vorher erwähnten Aufgaben gesammelt.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
39,521,"Ein zweiter Mechanismus könnte daher sein, dass die Information, welche durch HER vermittelt wurde, die umweltbedingte Eigenidentität des Konsumenten steigert.","Ein zweiter Mechanismus könnte also sein, dass die im HER enthaltenen Informationen die ökologische Selbstidentität der Konsumentinnen und Konsumenten stärken.",""
40,273,"In diesem Projekt ist das Energy Consumption Research Institut für das technische Training der HEAs und der Planung der Pilot-Aktionen zuständig.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
41,413,"Der erste Teil des Papers fasst die Resultat einer statistischen Analyse zusammen, die durchgeführt wurde, um den Begriff ""energy poor"" oder ""energy vulnerable"" Konsument richtig zu deuten, da eine einheitliche europäische Definition nicht existiert.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
42,487,"Der erste Teil dieser Arbeit fasst die Resultate einer statistischen Analyse, die ausgefuert wurde um zu verstehen wie ein EnergieArmer oder Energie-verletzbarer Konsument definiert wird, zusammen, da keine geminsame Europaeische Defintion besteht.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
43,190,"Während das Konservierungsverhalten von Menschen mit hohen biosphärischen Werten vielfach in der Literatur erforscht wurde, weiss man nur wenig über die Reaktionen dieser Individuen auf Peer-Vergleiche.","Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.",""
44,400,"Vor diesem Hintergrund zielt das Projekt (finanziert durch die EK unter dem Grant Agreement Nr. 12345) darauf ab","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
45,450,"Mit diesem Gedanken, das Projekt (gesponsert von der EU Kommission unter dem Einverständnis n. 12345) von dem das Energy Consumption Research Institute ein Partner ist, versucht die besten Praktiken und Empfehlungen um Energie Armut anzusprechen von ","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
46,491,"Diese Studie sammelt die ersten Resultate der oben genannten Aufgaben.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
47,375,"Im vorliegenden Artikel werden die ersten Ergebnisse der oben erwähnten Aufgaben präsentiert.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
48,494,"Solche Berater sind speziell trainiert, um die Pilot Massnahmen zu implementieren, indem sie Energie gefährdete Konsumenten (VCs) darin instruieren, ihren Energieverbrauch zu optimieren ( und möglicherweise zu reduzieren), indem sie ihre Verhaltensweisen anpassen.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
49,426,"In diesem Sinne  zielt das (von der EU-Kommission unter dem Grant Agreement n. ) gegründete Projekt, dessen Partner das Energy Consumptiom Research Institut  ist, darauf ab,","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
50,522,"Die HEr stärkt den Fokus des Konsumenten auf ","Durch die Aktivierung von biosphärischen Werten stärkt der HER den Fokus der Konsumentinnen und Konsumenten, zum Umweltschutz beizutragen.",""
51,386,"Die vorliegende Arbeit sammelt die ersten Ergebnisse der zuvor erwähnten Aufgaben.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
52,423,"Der erste Teil der Studie fasst die Ergebnisse einer statistischen Analyse zusammen, welche durchgeführt wurde, um nachvollziehen zu können, wie ""energiearm"" und ""energiegefährdet"" zu definieren sind, da eine gemeinsame europäische Definition fehlt.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
53,475,"Diese Arbeit sammelt die ersten Resultate der oben genannten Aufgaben.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
54,301,"Diese Arbeit sammelt zunächst die ersten Resultate der oben erwähnten Aufgaben.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
55,300,"Während dem Projekt ist das Energy Consumption Research Institute verantwortlich für das Training der HEAs und der Planung von Pilotaktionen.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
56,520,"Während Werte betreffend der Umwelt eine Tendenz zur Stabilität im Leben von Leuten zeigen, kann das umweltbedingte bewusstein beeinflusst werden, wie zum Beispiel mit Information betreffend Energiesparen.","Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.",""
57,476,"Der erste Teil der Arbeit fasst die Resultate einer für das Verständnis der Definition eines ""energiearmen"" oder ""","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
58,294,"Unter diesen Rahmenbedingungen v","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
59,153,"In diesem Paper testen wir den Effekt solialen Vergleichens auf energiesparendes Verhalten und ob dieses davon abhängt, inwieweit einzelne Personen ein hohes Umweltbewusstsein haben.","In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.",""
60,496,"Dieser Artikel sammelt die ersten Resultate der oben erwähnten Aufgaben.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
61,384,"Vor diesem Hintergrund zielt das Projekt (das von der ","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
62,348,"In Hinblick darauf versucht das Projekt (gegründet durch die EU Comm","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
63,438,"Diese Arbeit sammelt die ersten Resultate von den oben genannten Aufgaben. ","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
64,302,"Der erste Teil der Arbeit fasst die Reu","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
65,296,"Diese Studie sammelt die ersten Resultate der oben erwähnten Aufgaben.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
66,154,"Eine weitere entscheidende Forschungslücke ist das fehlendeVerständnis der Mechanimen hinter der Reaktion einzelner zum Opower Home Energy Report (HER) im Bereich Energieverbrauch.","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
67,266,"Eine weitere wichtige Lücke in der Froschungs ist das Verstehen von den Mechanismen hinter individueller Reaktion auf Die Opower Home Energy Report (HER) im Bereich Energieverbrauch.","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
68,433,"Vor diesem Hintergund zielt das Projekt (","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
69,385,"In dem Projekt ist das Energy Consumption Research Institute verantwortlich für die Ausbildung der HEAs sowie für die Planung der Pilotversuche.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
70,486,"Diese Arbeit sammelt die ersten Resultate von den oben genannten Aufgaben.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
