"rand_index","index","translation","fluency"
1,143,"Als Erstes testen wir, ob HER die Wahrnehmung von Normen im Bereich des Energiesparens eines Individuums beeinflusst.",""
2,348,"In Hinblick darauf versucht das Projekt (gegründet durch die EU Comm",""
3,331,"Um dieses Hindernis zu überwinden, ist es nötig, den Hintergrund zu ergründen, vor dem die Pliotmassnahmen angewendet werden sollen (d.h. die analyse der Situationen in den Mitgliedstaaten) und eine zielgerichtete Marktsegmentation durchzuführen, indem existierende Datenbanken analysiert und verbessert werden, auf die ",""
4,424,"Die grösste Hürde bei dieser Analyse besteht darin, dass die Daten, welche für Standardindikatoren (z. B. Tiefes-Einkommen hohe-Kosten) verwendet werden, in vielen Ländern nicht verfügbar sind. Das heisst, es müssen andere Wege ausgelotet werden, um nachvollziehen zu können, was ein ""energiegefährdeter Verbraucher"" ist. ",""
5,506,"Einer der Aspekte, welche von der EK betont werden, ist die Wichtigkeit, von der Erfahrung und von den in den Mitgliedsta",""
6,480,"Die Energiearmut ist eine der Hauptprobleme, die heute in Europa (sozial, technisch und legislativ). Mit einer geschätzten Anzahl von ungefähr 50 bis 125 Millionen Mensche.",""
7,321,"Der erste Teil dieses Artikels fasst die Resultate der statistischen Analyse zusammen, die durchgeführt wurde, um ""energy-poor"" oder ""energy-vulnerable"" Kosumenten zu definieren, da keine einheitliche europäische Definition existiert.",""
8,336,"Die European Commission (EC) hat grosse Anstrengungen unternommen, dieses Problem zu lösen. Dies zeigt sich beispielsweise bei der kürzlich lancierten Initiative Eu Energy Poverty Observatory, die im Januar 2018 gestartet ist.",""
9,69,"Der HER beinhaltet vier wichtige Elem",""
10,433,"Vor diesem Hintergund zielt das Projekt (",""
11,133,"Obwohl das Interesse an der Forschung im Bereich des sozialen Vergleichs zunimmt, bleiben mehrere Fragen offen.",""
12,343,"Dies wird durch die Implementierung einer Reihe von Pilotprojekten mit einer Gruppe von sogenannten HEAs (Home Energy Advisors) bewerkstelligt.",""
13,447,"Mit dem im Kopf, das Projekt das hier dargestellz wird  (geföhrdert durch die EU Kommission unter dem Grant Agreement no. 12345); von dem Das Energy Consumtion Research Institute ein Partner is, ziehlt darauf die besten Verhalten und ",""
14,107,"Während das sparsame Verhalten von Personen mit hohem Bewusstsein für die Umwelt in der Forschungsliteratur ausführlich nachgewiesen ist, weiss man nur wenig über die Reaktion dieser Konsumenten azf den Vergleich mit ihren Peers.",""
15,206,"Die Forschung zeigt, dass das Erzählen, wie die Handlungen einiger Personen zu anderen zu vergleichen sind, bringt diese Personen dazu, die Energie und den Wasserverbrauch, ihren Beitrag zu Wohlfahrtsorganisationen und ihr Einsparen zu verändern",""
16,145,"Während umweltbezogene Werte in der Regel während des ganzen Lebens stabil bleiben, kann die umweltbezogene Selbstidentität beeinflusst werden, zum Beispiel durch Informationen in Bezug auf das Energiesparen.",""
17,312,"Die Europäische Kommission (EC) hat einen grossen Aufwand für Lösungen für das Problem investiert, beispielsweise mit der Lancierung des EU Energy Poverty Observatory im Januar 2018.",""
18,339,"Energiearmut ist zurzeit in Europa eine der grössten sozialen, technischen und gesetzlichen Herausforderungen. Davon sind schätzungsweise etwa  50 bis 125 Millionen Menschen betroffen.",""
19,373,"Diese Berater werden gezielt dazu ausgebildet, die Pilottätigkeiten durchzuführen, indem energieanfällige Verbaucher (VC) dazu gebracht werden, ihren Stromverbauch zu optimieren (und nach Möglichkeit zu reduzieren). Dies geschieht in erster Linie durch Verhaltensänderungen.",""
20,103,"Eine stärkere Wahrnehmung der Norm, Energie zu s",""
21,101,"Ein weiteres Ziel dieses Berichts ist es, mögliche Mechanismen auszuarbeiten, mit denen der HER effizienter werden könnte.",""
22,412,"Dieses Paper sammelt die ersten Resultate der oben genannten Aufgaben.",""
23,466,"Die Europäische Kommission hat viel Energie in die Problemlösung gesteckt, wie das Beispiel des neulich lancierten EU Energy Poverty Observatory im Januar 2018, zeigt.",""
24,82,"Die Analyse kombiniert Daten aus einem randomisierten Programm, welches von Opower in Italien durchgeführt wurde, mit Umfragedaten, welche von Endvebrauchern gesammelt wurden.",""
25,456,"Eine der Punkte, welchen die EC hervorbringt, ist, von Erfahrungen zu lernen und von den besten Praktiken, die in den verschiedenen Mitgliedsstaaten praktiziert werden.",""
26,340,"Die Europäische Kommision (EC) ist sehr bemüht, diese Herausforderungen anzugehen, wie beispielsweise kürzlich die Einführung des EU Energy Poverty Observatory im Januar 2018 zeigt.",""
27,423,"Der erste Teil der Studie fasst die Ergebnisse einer statistischen Analyse zusammen, welche durchgeführt wurde, um nachvollziehen zu können, wie ""energiearm"" und ""energiegefährdet"" zu definieren sind, da eine gemeinsame europäische Definition fehlt.",""
28,225,"Der HER b",""
29,357,"Die Europäische Kommision (EC) setzt sich stark für die Lösung dieses Problems ein, beispelsweise mit dem jüngsten Start des Eu Energy Poverty Observatory im Januar 2018.",""
30,71,"Forschung hat zum Beispiel gezeigt, dass durch das Informieren der Leute über ihre Tätigkeiten im Vergleich zu anderen, ähnlichen Leuten, ermutigt sie, ihren Energie- und Wasserverbrauch, ihren Beitrag zu charitable Gründen und ihre Spar-Entscheidungen zu ändern.",""
31,463,"Die Europäische Kommission (EC) hat viel Aufwand investiert zum dieses Problem zu läsen, wie man zum Beispiel  am neusten Projet EU Energy Poverty Observatory sehen kann, welches Januar 2018 startete.",""
32,378,"Zudem sind die unterschiedlichen, zur Verfügung stehenden Daten in EU-Ländern der Grund, weshalb eine fragmentierte und oft ""nicht kompatible"" Segmentierung in den verschiedenen Mitgliedstaaten geschieht. ",""
33,485,"Das Hauptproblem bei der Umsetzung der Analy",""
34,53,"Untersuchungen zeigen, dass es zu Veränderungen bezügl. Energie- und Wasserverbauch, sowie Beiträgen zu wohltätigen Zwecken und Energiesparenden MaSsnahmen führt, Menschen aufzuzeigen, wie ihrhandeln imvergleich it anderen Menschen aussieht.",""
35,503,"Es macht dies",""
36,178,"Der Einfluss von sozialen Information auf Verhaltensweisen wurde in verschiedenen Szenarien gezeigt. ",""
37,27,"Als Erstes testen wir, ob HER die individuelle Wahrnehmung einer Norm bezüglich Energie sparen beeinflusst.",""
38,409,"Zudem führen die verschiedenen in der EU verfügbaren Daten zu einer bruchstückhaften und oft ""nicht kompatiblen"" Segmentierung in einigen Mitgliedsstaaten.",""
39,117,"Obwohl das Konservationsverhalten von Personen mit hohen biosphärischen Werten in der Literatur gut dokumentiert wurde, ist über die Reaktionen dieser Konsumenten auf Vergleichsgruppen wenig bekannt.",""
40,167,"Während umweltbezogene Werte tendenziell stabil bleiben während einem Menschenleben, kann jedoch die umweltbezogenene Identität beeinflusst werden, zum Beispiel durch Information über Energiekonservierung.",""
41,250,"Der Einfluss von Information zum sozialen Hintergrund auf das Verhalten von Menschen ist schon in einer Vielzahl von Settings gezeigt worden.",""
42,226,"In dieser Arbeit testen wir ob es Auswirkungen gibt aufgrund sozialer Vergleiche zum Thema Energiekonsum und ob diese Auswirkungen davon anhängig sind, inwiefern diese Individuen hohe umweltbezogene Werte haben. ",""
43,301,"Diese Arbeit sammelt zunächst die ersten Resultate der oben erwähnten Aufgaben.",""
44,80,"Ein zweiter Mechanismus könnte deshalb sein, dass die Informationen, welche während dem HER zugeführt werden, die eigene umweltbezogene Selbstidentität verstärkt.",""
45,308,"In diesem Projekt ist das Energy Consumption Research Institute für die technische Einweisung der HEAs und für die Planung der Pilotmassnahmen zuständig.",""
46,89,"Ein zweiter Mechanismus könnte folglich sein, dass die im HER gelieferte Information die ökologische Selbstidentität einer Person steigert.",""
47,273,"In diesem Projekt ist das Energy Consumption Research Institut für das technische Training der HEAs und der Planung der Pilot-Aktionen zuständig.",""
48,230,"Zum Beispiel hat die Forschung gezeigt, dass wenn man Menschen sagt, wie sich ihre Aktionen mit denen anderer vergleichen, ähnliche Menschen dadurch ermutigt werden. ihren Strom- und Wasserverbrauch. ihre Beteiligung an Wohltätigkeit und ihre Ersparnisse zu modifizieren-",""
49,100,"Der HER enthält verschiedene Elemente, einschliesslich eines statischen Nachbarvergleichs von Energieverbrauchsstufen (eine deskriptive Norm), Feedback bezüglich individueller Leistung (eine Norm) sowie Energiespartipps.",""
50,454,"Energiearmut ist eines der grössten sozialen, technischen und legislativen Problemen der heutigen Zeit in Europa, mit einer schätzungsweisen Zahl an betroffenen Menschen die sich zwischen  und  Millionen bewegt.",""
51,366,"Die Europäische Kommission (EK) hat viel Mühe darauf verwendet, dieses Problem zu lösen, was sich beispielsweise durch die Lancierung des EU Energy Poverty Observatory im Januar  2018 zeigt.",""
52,316,"Einer der von EC genannten Punkte ist die Wichtigkeit, von den Erfahrungen und Best Pracices in verschiedenen Mitgliedstaaten (MS) zu lernen.",""
53,154,"Eine weitere entscheidende Forschungslücke ist das fehlendeVerständnis der Mechanimen hinter der Reaktion einzelner zum Opower Home Energy Report (HER) im Bereich Energieverbrauch.",""
54,155,"Der HER führt verschiedene Elemente auf, vom einem statischen Nachbarschaftsvergleich des Energievrbrauchs (deskriptive Norm) über Rückmeldungen zum individuellen Verhal",""
55,282,"Ein wichtiger Punkt, den die EC oft erwähnt, ist die Wichtigkeit von Erfahrungen und Best-Practice-Beispielen von anderen Member States (Ms",""
56,486,"Diese Arbeit sammelt die ersten Resultate von den oben genannten Aufgaben.",""
57,86,"Zuerst wird getestet, ob der HER die Wahrnehmung der Norm durch die Einzelpersonen im Berich Energiesparen formt.",""
58,124,"Trotz eines zunehmenden Interesses ",""
59,334,"Einer der wichtigen Punkte ist es, von der Erfahrungen von anderen Teilnehmerstaaten zu lernen, die dieses Programm eingeführt und getestet haben. ",""
60,200,"Zuerst testen wir, ob der HER die Vorstellungen der Individuen der Norm formt im Angesicht des Themas des Energieverbrauchs.",""
61,20,"Der Einfluss sozialer Information auf das Verhalten wurde in einer Reihe von settings demonstriert.",""
62,380,"Der zweite Teil d",""
63,30,"Der Einfluss sozialer Informationen auf das Verhalten wurde bereits in verschiedenen Settings gezeigt.",""
64,228,"Das HER beinhaltet verschiedene Elemente, dazu gehören statische Vergleiche mit Nachbarn",""
65,40,"HER umfasst verschiedene Elemente, wie eine statische Nachbarsvergleichung der Energieverbaucherniveaus (eine deskriptive Norm), Rückmeldung auf individuelle Performance (eine injuktive Norm) sowie Energiespartipps.",""
66,109,"Eine weitere ",""
67,73,"Insbesondere ist wenig bekannt über die Quellen der Heterogenität, die in den be",""
68,38,"Während umwelt",""
69,430,"Energiearmut ist eines der grössten sozialen, technischen und gesetzgeberischen Probleme in Europa derzeit, mit einer geschätzten Anzahl Betroffener von 50 bis 125 Millionen Menschen.",""
70,263,"Die Forschungsergebnisse  zeigen, dass man Menschen dadurch, dass man ihnen erzählt, wie ihre Handlungen im Vergleich zu anderen Menschen dastehen, dazu bringen kann, ihren Energieverbrauch, Wasserverbrauch, ihre Beiträge zu gemeinnützigen Zwecken und ihr Sparverhalten zu verändern.",""
71,322,"Die grösste Schwierigkeit, die sich bei der Durchführung dieser Analyse ergibt, ist, das",""
72,489,"Zusätzlich führt die Erhältlichkeit von verschiedenen Daten in den EU Ländern zu einer r",""
73,10,"Obwohl die Interesse an der Forschung an sozialem Vergleich steigt, bleiben einige Fragen offen.",""
74,238,"Speziell ist relativ wenig",""
75,150,"Zuerst testen wir, ob HER die individuelle Wahrnehmung von Normen im Bereich von Energieverbrauch formt.",""
76,110,"Ein weiteres Ziel dieser Untersuchung ist, die möglichen Mechanismen  zu bewerten, mit welchen der HER wirksamer werden könnte.",""
77,229,"Der Einfluss der Sozialen Informationen bezüglich des Verhaltens wurde in verschiedenen Orten demonstriert.",""
78,232,"Trotz des wachsenden Interesse in sozial vergleichenden Forschungen, bleiben einige Fragen offen.",""
79,251,"Forschungsergebnisse zeigen, das Leute, denen man erklärt hat, wie ihr Verhalten sich Im Vergleich zu  ähnlichen anderen verhält, dazu neigen, ihren Energie und Wasserverbrauch  zu verringern. Dies gilt auch für ihre Spenden an",""
80,50,"Zuerst testen wir, ob der HER Report die Eindrücke eines Individuums von der Norm im Bereich Energiesparen.",""
81,81,"Durch das Aktivieren von biosphärischen Werten kann der HER den Fokus von Menschen darauf ausrichten, die Umwelt zu verbessern.",""
82,370,"In diesem Dokument werden die ersten Ergebnisse dieser beiden Aufgabenstellungen vorgestellt.",""
83,23,"In dieser Arbeit testen wir, ob es einen sozialen Vergleichseffekt bei Energiekonservation gibt und ob dieser Effekt abhängig davon ist, ob individuelle Personen hohe Umweltansprüche haben.",""
84,2,"Studien zeigten zum Beispiel, dass wenn den Personen aufgeführt wird, wie sie im Vergleich zu anderen darstehen, sie dann eher gewillt sind, ihren Energie- und Wasserverbrauch zu regulieren. Ausserdem neigen Sie dazu ihre ",""
85,142,"Ein weiteres Ziel dieser Arbeit ist es, mögliche Mechanismen zu evaluieren, die HER wirksamer machen könnten.",""
86,74,"Der Einfluss von gesellschaftlichen Informationen auf das Verhalten wurde in verschiedenen Bereichen belegt.",""
87,112,"Eine stärkere Wahrnehmung der Norm, Energie zu sparen, kann dann den Energieverbrauch beeinflussen.",""
88,14,"Der HER stärkt der Fokus der Leute auf die Verbesserung der Umwelt, indem er biosphärische Werte aktiviert.",""
89,66,"Die Forschung zeigt, dass, wenn Mens",""
90,462,"Energie Armut ist eins der grössten sozialen, technischen und legalen Problemen in Europa in der heutigen Zeit, mit geschätzten 50 zu 125 Millionen Menschen die davon betroffen sind.",""
91,132,"Beispielsweise zeigen Untersuchungen, dass Menschen ermutigt werden, ihren Energie- und Wasserverbrauch, ihre Spenden für wohltätige Zwecke und ihre Sparentscheidungen zu verändern, wenn ihnen gesagt wird, wie sie im Vergleich zu anderen, ähnlichen Menschen abschneiden.",""
92,324,"Dieses Paper präsentiert die ersten Ergebnisse dieser beiden Aufgaben.",""
93,266,"Eine weitere wichtige Lücke in der Froschungs ist das Verstehen von den Mechanismen hinter individueller Reaktion auf Die Opower Home Energy Report (HER) im Bereich Energieverbrauch.",""
94,201,"Eine stärkere Wahrnehmung der Norm in die Richtung der Energieeinsparung könnte dann den Energieverbrauch beeinflussen.",""
95,241,"Ein weiteres Anliegen dieser Studie ist es, mögliche Mechanismen zu bestimmen, welche das HER effektiver machen können. ",""
96,470,"Die europäische Kommission (EC) hat viel Aufwand betrieben um dieses Problem zu lösen. Zum Beispiel, wie gezeigt, durch den kürzlichen Launch von der EU Energy Poverty Observatory im Januar 2018.",""
97,514,"In Anbetracht dessen, zielt das hier vorgestellte Projekt, dasvon der EU Kommission ",""
98,13,"Ein zweiter Mechanismus könnte deswegen die Informationen, die im HER geliefert werden sein, die die Umwelt-Selbstidentität erhöht.",""
99,72,"Trotz eines wachsenden Interesse in social comparison research bleiben jedoch einige Fragen offen.",""
100,208,"Im Besonderen ist relativ wenig bekannt über die Gründe der Heterogenität des Effektes eines bekannten Experiments sozialen Vergleichs, wie das, welches von Opower program durch die Home Electrity Report bereitgestellt wurde",""
101,131,"Die Wirkung von sozialer Information auf das Verhalten wurde in unterschiedlichsten Settings nachgewiesen.",""
102,476,"Der erste Teil der Arbeit fasst die Resultate einer für das Verständnis der Definition eines ""energiearmen"" oder """,""
103,15,"Die Analyse kombiniert Daten von einer grossen randomisierten Studie, die von Opower in Italien durchgeführt wurde, mit Daten einer Umfrage von ",""
104,329,"Das grösste Hindernis bei der Durchführung dieser Analyse ist es, dass die Daten, die häufig für Standardindikatoren (bsp. niedriges einkommen, hohe Kosten), in vielen Ländern nicht verfügbar sind, sodass neue Methoden, um Energygefährdete Konsumenten zu definieren, gefunden werden müssen.",""
105,483,"Dieser Bericht präsentiert die ersten Resultate dieser zwei Aufgaben.",""
106,160,"Eine weitere interessante Lücke in der Forschung besteht im Verständnisde Mechanismen, welche hinter den Reaktionen der Individuen bezüglich Opowers HER und ihrem Energieverbrauch stehen.",""
107,347,"Eines der wichtigsten Punkte, welche die EC betont hat, ist die Bedeutung von Erfahrungs- und Handlungswerten, die in verschiedenen Member states (MS) ausgeführt werden.",""
108,35,"Ein zweites Ziel dieses Dokuments ist es mögliche Mechanismen zu testen, die das HER effektiv machen.",""
109,96,"Die Forschung zeigt beispielsweise, dass es einen Einfluss auf Menschen hat, wenn man ihnen sagt, wie andere Menschen, die ihnen ähnlich sind, handeln. So ändern sie zum Beispiel ihren Energie- oder Wasserverbrauch, ihre gemeinnützigen Tätigkeiten oder Spenden sowie ihre Sparentscheidungen.",""
110,314,"Mit einer geschätzten Anzahl betroffener Personen von 50 bis 125 Millionen ist Energieknappheit eines der Hauptprobleme im sozialen, technischen und legislativen Bereich der heutigen Zeit in Europa.",""
111,274,"Diese Arbeit sammelt die ersten Resultate der oben aufgeführten Aufgaben.",""
112,36,"Zunächst testen wir, ob das HER die individuellen Aspekte im Rahmen des Energiesparens aufzeigt.",""
113,119,"Ein weiterer wichtiger offener Punkt in der Forschung ist das Verständnis darüber, ",""
114,222,"Während das Sparverhalten von Leuten mit hohen biosphärischen Werten in der Literatur gut erfasst worden ist, ist wenig über die Reaktion dieser Konsumenten auf sozialen Vergleich bekannt.",""
115,442,"Energiearmut is eines der hauptsächlichen sozialen, technischen und legislativen Problemen der Gegenwart in Europe, mit einer Schätzung von betroffenen Personen von 50 bis 125 Millionen.",""
116,57,"Während das Sparvehalten von Leuten mit hohen biospherischen Werten bereits zu genüge in der Literartur behandelt wurde, ist relativ wenig über die Reaktion dieser Individuen zu Gruppenvergleichen bekan",""
117,376,"Im ersten Teil des A",""
118,88,"Zweitens, während ökologische Werte im Leben aller stabil bleiben, kann die ökologische Selbstidentität beeinflusst werden, beispielsweise durch Information in Bezug auf das Energiesparen.",""
119,63,"Insbesondere ist noch relativ wenig dazu bekannt, woher Heterogenitätseffekte bei einem bekannten Experiment zum sozialen Vergleich wie dem durch das Opower-Programm mit dem Home Electricity Report durchgeführten stammen.",""
120,374,"In diesem Projekt ist das Energy Consumpion Research Institute für die technische Ausbildung der HEAs und die Planung der Pilottätigkeiten zuständig.",""
121,115,"Indem Werte im Bereich Biosphäre aktiviert werden, stärkt der HER den Fokus des Konsumenten auf die Vorteile der Umwelt.",""
122,249,"Genauer gesagt, ist relativ wenig über die Quelle der Heterogenität im Resultat eines sehr bekannten Experiments des sozialen Vergleichs, wie zum Beispiel desjenigen vom Opower Programm durch den Home El",""
123,51,"Ein stärkerer Eindruck der Norm in Richtung",""
124,94,"Forschungsstudien wiesen nach, dass Menschen, wenn ihre Handlungsweisen mit denen ähnlicher Personen verglichen werden, zu einer Aenderung ihres Energie- und Wasserverbrauchs, ",""
125,149,"Ein weiteres Ziel dieses Papers ist es, mögliche Mechanismen auszuwerten, um HER effektiver zu gestalten.",""
126,291,"Die Energiearmut ist eine der grössten sozialen, technischen und legislativen Herausforderung, mit welcher sich Europa heute konfrontiert sind. Man schätzt, dass 50 bis 125 millionen Menschen davon betroffen sind.",""
127,436,"Ein Punkt, der von der Europäischen Kommission hervorgehoben wurde, ist die Bedeutung des Lernens aus Erfahrungen und bewährten Vorgehensweisen aus anderen Mitgliedsstaaten (MS).",""
128,342,"Vor diesem Hintergrund ",""
129,98,"Es ist insbesondere wenig darüber bekannt über die Gründed der Heterogenität ",""
130,211,"Das zweite Ziel des Papers ist es mögliche Mechanismen den HER effectiver zu machen zu testen.",""
131,257,"Während das Bewahru",""
132,477,"Im Projekt ist Energy Consumption Research Institute verantwortlich für das technische Training der HEAs und für die Planung der Pilotaktionen.",""
133,425,"Des Weiteren führt die unterschiedliche Datenlage in den EU-Ländern oftmals zu einer fragment",""
134,284,"Die Europäische Kommission (EK) investierte viel Aufwand in diese Problem, wie zum Beispiel bei der Einführung der EU Energiearmutsobservation im Januar 2018.",""
135,472,"Dies beachtend, ist das Ziel vom Projekt (finanziert von der EU Kommission unter dem Grant Agreement n. 12345), mit dem Energy Consumption Research Institute als Partner, ",""
136,441,"Desweiteren ist es so, dass die Erhältlichkeit der verschiedenen Daten von Eu Ländern oft fragmentiert und nicht vergleichbar aufgeteilt ist in den verschiedenen Mi",""
137,128,"Eine stärkere Wahrnehmung der Norm in Richtung Energiesparen könnte dann den Energieverbrauch beeinflussen.",""
138,180,"Trotz einem wachesendem Interesse an sozialen Vergleichsarbeiten, bleiben viele Fragen offen. ",""
139,386,"Die vorliegende Arbeit sammelt die ersten Ergebnisse der zuvor erwähnten Aufgaben.",""
140,501,"M",""
141,188,"Der Einfluss von sozialer Infromation auf Verhaten wurde in verschiedenen Umfeldern demonstriert.",""
142,224,"Eine weitere wichtige Lücke in der Forschung ist das Verständnis der Mechanismen hinter die Reaktionen von Individuen auf Opowers HER im Bezug auf ihren Energieverbrauch.",""
143,83,"Die verfügbaren Daten aus der Nutzung zeigt auf, ob eine Person die sozialen Informationen durch den Home Energy Report erhält, die Frequenz und die Art der sozialen Information, der Umgang der Kunden damit und der Energieverbrauch.",""
144,455,"Die europäische Kommisionb hat viel Arbeit in die Lösungsfindung dieses Problems investiert, wie beispielsweise am vor kurzer Zeit gegründeten EU Energy Poverty Observatory im Januar  ersichtlich ist.",""
145,52,"Der Einfluss sozialer Informationen auf menschliches Verhalten wurde inverschiedenen Situationen bewiesen.",""
146,141,"Das HER-Programm enthält verschiedene Elemente, darunter einen statischen Vergleich des Energieverbrauchlevels zwischen Nachbarn (eine deskriptive Norm), Rückmeldungen zur individuellen Leistung (eine injunktive Norm) sowie Tipps zum Energiesparen.",""
147,362,"Die European Commission (EC) hat schon viel Arbeit darin investiert, dieses Problem zu lösen. Das zeigt sich am Beispiel des kürzlich gegründeten EU Energy Poverty Observatory im Januar 2018.",""
148,147,"Eine weitere wichtige Lücke in der Forschung ist das Verständnis der Mechanismen hinter den individuellen Reaktionen auf Opower's HER betreffend Ihres Energieverbrauchs.",""
149,192,"Eine weit",""
150,438,"Diese Arbeit sammelt die ersten Resultate von den oben genannten Aufgaben. ",""
151,397,"Energiearmut ist eines der grössten sozialen, technischen und gesetzgeberischen Probleme der heutigen Zeit in Europa. Das Problem betrifft zwischen  50 und 125 Millionen Menschen.",""
152,508,"Die Europäische Kommission (EC) hat sich grosse Mühen gemacht, dieses Problem zu lösen wie gezeigt wurde. Beispielsweise mit dem kürzlichen Start des EU Energy Poverty Observatory im Januar 2018.",""
153,137,"Zuerst testen wir, ob der HER die individuelle Wahrnehmung der Norm auf dem Gebiet des Energiesparens beeinflusst.",""
154,91,"Die Analyse kombiniert Daten aus einem grossen randomized Programm, das von Opower in Italien durchgeführt wurde und bei dem die Studiendaten von Energieverbrauchern gesammelt wurden.",""
155,29,"Weiter kann die umweltbezogene Selbstwahrnehmung im Gegensatz zu den umweltbezogenen Werten, die eher stabil sind, beeinflusst weden, beispielsweise durch Informationen im Zusammenhang mit ",""
156,458,"Energiearmut ist eine der Grössten sozialen, technischen und gesetzlichen Probleme im heutigen Europa, mit einer geschätzten Anzahl von Betroffenen, die im Bereich von 50-125 Millionen liegt.",""
157,468,"Das Projekt (von der EU Kommission ",""
158,293,"Die EC betont allerdings wie wichtig es ist, von den Best Practices und den Erfahrungen der eigenen Mitgliedstaaten zu lernen. ",""
159,305,"Unter anderem hebt die EC die Relevanz von Lernen aus Erfahrung und von positiven Beispielen hervor, das in zahlreichen Mitgliedsstaaten (MS) umgesetzt wird.",""
160,516,"Diese Berater wurden spezifisch darauf trainiert, die Pilotaktionen umzusetzen, indem sie verletzliche Konsumenten schulen. Dies um deren Energiekonsum zu optimieren und möglicherweise zu reduzieren, vor allem durch Verhaltensänderung.",""
161,264,"Trotz wachsendem Interesse an Soial Comparion Research bleiben mehrere Fragen offen.",""
162,375,"Im vorliegenden Artikel werden die ersten Ergebnisse der oben erwähnten Aufgaben präsentiert.",""
163,388,"Die grösste Hürde bei der Durchführung dieser Analyse besteht darin, dass die in der Regel für Standardindikatoren (z.B. nie",""
164,464,"Ein wichtiger Punkt, der von der ECbetont wird, ist wie wichtig es ist von Erfahrungen zu lernen und von den besten Lösungsansätzen in verschiedenen Mitgliederstaaten(MS) zu  profitieren",""
165,431,"Die Europäische Kommission (EK) hat sich sehr bemüht, dieses Problem zu lösen, was beispielsweise durch die kürzliche Lancierung des EU Energy Poverty Obersvatory im Januar 2018 offensichtlich wird.",""
166,444,"Einer der Punkte, die vom EC betont wurden ist die Wichtigkeit, von den Erfahrungen und besten Praktiken zu lernen, die in den verschiedenen Mitgliedstaaten (MS) ausgeführt werden.",""
167,479,"Der erste Teil dieser Arbeit fasst die Resultate der statistischen Analyse zusammen, welches dazu dient einen ""energiearmen"" oder einen ""energieverletzlichen"" Konsumenten zu definieren, da eine gängige europäische Definition dieser n",""
168,234,"In unserem Bericht spekulieren wir, dass umweltfreundliche Werte eine wichtige Quelle für Heterogenität im Effekt von den Opower Gruppenvergleich repräsen",""
169,60,"Der Einfluss soziales Informationen auf das Verhalten einer Person wurde bereits in den unterschiedlichsten Feldern nachgewiesen.",""
170,135,"Der HER umfasst verschiedene Elemente, von einem statischen Vergleich mit Nachbarn im Hinblick auf den Energieverbrauch (deskriptive Norm) bis hin zu Rückmeldungen, wie gut Einzelne abschneiden (injunktive Norm), und Tipps zum Energiesparen.",""
171,420,"Einer der wichtigen Aspekte, den die Ec betont, ist das Lernen aus Erfahrung und von bewährten Vorgehensweisen, die in vielen Mitgliedstaaten (MS) durchgefhrt werden.",""
172,212,"Als ersten testen wir ob der HER einen Einfluss auf ",""
173,512,"Die EC hat viel Aufwand betrieben, um dieses Problem zu lösen, was sich beispielsweise durch die Gründung der EU Energy Poverty Observatory im Januar 2018m gezeigt hat.",""
174,65,"Der Einfluss von sozialen Informationen auf das Verhalten wurde  in verschiedenen Settings gezeigt.",""
175,108,"In diesem Artkel untersuchen wir, ob sich der soziale Vergleich auf den Stromverbrauch auswirkt und ob dieser Effekt davon abhängt, wie hoch die jeweiligen Personen ökologische Faktoren einordnen.",""
176,197,"Zum Beispiel zeigt die Forschung, dass es Menschen dazu motiviert, ihren Energie- und Wasserverbrauch, ihren Beitrag für gemeinützige Fälle und ihre Entscheidungen, Energie zu sparen, anzupassen, wenn man sie mit den Akionen anderer, ihnen ähnliche Menschen, vergleict.",""
177,168,"Ein zweiter Mechanismus könnte daher darin bestehen, dass die Information, die im HER dargebotn wird, die umweltbezogene Identität der Konsumenten beeinflusst.",""
